,id,type,VL,VH,VN,VM,RED,Total
5,936821,AC,399.934,416.026,483.327,405.554,825.0,559.1401666666667
6,955766,L3,368.014,416.026,398.281,356.545,675.0,481.47766666666666
7,976301,AC,655.287,469.007,440.804,454.564,925.0,644.9436666666667
8,956894,AC,495.691,521.987,610.897,552.583,825.0,638.5263333333334
9,960602,AC,431.853,363.046,525.85,405.554,750.0,537.7171666666667
10,970566,L1,463.772,521.987,355.758,454.564,725.0,541.0135
11,976568,L1,368.014,363.046,568.373,405.554,700.0,517.4978333333333
12,950237,L1,304.176,363.046,398.281,405.554,100.0,278.50949999999995
13,959482,L5,687.206,627.947,695.943,552.583,875.0,718.9465
14,951710,L7,463.772,416.026,398.281,454.564,675.0,513.7738333333333
15,923750,L7,336.095,416.026,440.804,405.554,500.0,433.0798333333334
16,914110,AC,623.367,627.947,568.373,454.564,575.0,570.7085
17,974948,AC,495.691,574.967,440.804,503.574,675.0,560.8393333333333
18,981368,AC,304.176,310.066,568.373,503.574,825.0,556.0315
19,960845,L1,336.095,416.026,440.804,454.564,700.0,507.91483333333343
20,957714,L3,527.61,416.026,568.373,405.554,750.0,569.5938333333334
21,955191,L4,463.772,469.007,355.758,454.564,750.0,540.5168333333334
22,964909,L4,336.095,469.007,398.281,405.554,775.0,526.4895
23,969210,L4,431.853,469.007,440.804,454.564,600.0,499.3713333333333
24,952822,L3,368.014,416.026,610.897,405.554,800.0,566.7485
25,952284,L3,336.095,469.007,440.804,405.554,750.0,525.2433333333333
26,954790,L4,336.095,363.046,610.897,356.545,700.0,511.0971666666667
27,970302,AC,559.529,521.987,568.373,454.564,750.0,600.7421666666667
28,919595,AC,368.014,416.026,525.85,454.564,875.0,585.7423333333332
29,962743,AC,368.014,627.947,440.804,552.583,750.0,581.558
30,978290,AC,463.772,469.007,525.85,454.564,725.0,560.5321666666667
31,979472,AC,431.853,469.007,483.327,405.554,800.0,564.9568333333333
32,924668,AC,495.691,521.987,398.281,405.554,800.0,570.2521666666667
33,941158,AC,368.014,627.947,483.327,503.574,650.0,547.1436666666667
34,981455,AC,527.61,469.007,398.281,503.574,700.0,549.7453333333333
35,953399,AC,368.014,363.046,483.327,454.564,750.0,528.1585
36,948933,AC,431.853,416.026,440.804,405.554,750.0,532.3728333333333
